ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
1,010A511F4A,1,16,16,Run_rapid,Run_rapid,0.000,9.426611,45.874081,9.426611,45.874081 
2,010A514A39,2,16,18,Run_rapid,Run_rapid,0.108,9.426609,45.874080,9.426609,45.874079 
3,010A514A39,2,18,18,Run_rapid,Run_rapid,0.000,9.426609,45.874079,9.426609,45.874079 
4,010A515887,3,16,16,Run_rapid,Run_rapid,0.000,9.426606,45.874079,9.426606,45.874079 
5,010A516327,4,16,17,Bars_sedimentbuildupzones,Run_rapid,1.014,9.426599,45.874078,9.426608,45.874079 
6,010A516327,4,17,18,Run_rapid,Bars_sedimentbuildupzones,1.159,9.426608,45.874079,9.426597,45.874077 
7,010A516327,4,18,18,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426597,45.874077,9.426597,45.874077 
8,010A516FD5,5,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426595,45.874077,9.426595,45.874077 
9,010A5177A6,6,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426596,45.874077,9.426596,45.874077 
10,010A517F55,7,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426592,45.874077,9.426592,45.874077 
11,010A51993F,8,16,17,Bars_sedimentbuildupzones,Run_rapid,3.143,9.426593,45.874077,9.426592,45.874049 
12,010A51993F,8,17,18,Run_rapid,Run_rapid,3.369,9.426592,45.874049,9.426614,45.874070 
13,010A51993F,8,18,18,Run_rapid,Run_rapid,0.000,9.426614,45.874070,9.426614,45.874070 
14,010A519A28,9,16,17,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426598,45.874066,9.426598,45.874066 
15,010A519A28,9,17,18,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426598,45.874066,9.426598,45.874066 
16,010A519A28,9,18,19,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,1.623,9.426598,45.874066,9.426605,45.874079 
17,010A519A28,9,19,19,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426605,45.874079,9.426605,45.874079 
18,010A519B8A,10,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426603,45.874078,9.426603,45.874078 
19,010A51A25B,11,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426604,45.874078,9.426604,45.874078 
20,010A51B384,12,16,18,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.154,9.426600,45.874078,9.426602,45.874078 
21,010A51B384,12,18,18,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426602,45.874078,9.426602,45.874078 
22,010A51B3C6,13,16,16,Steep_poolzone,Steep_poolzone,0.000,9.426515,45.874009,9.426515,45.874009 
23,010A51C876,14,16,16,Cascade,Cascade,0.000,9.426571,45.874077,9.426571,45.874077 
24,010A51E13C,15,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426458,45.874001,9.426458,45.874001 
25,010A51E8A7,16,16,16,Cascade,Cascade,0.000,9.426590,45.874077,9.426590,45.874077 
26,010A51F3F8,17,16,16,Cascade,Cascade,0.000,9.426579,45.874072,9.426579,45.874072 
27,010A521092,18,16,16,Run_rapid,Run_rapid,0.000,9.426612,45.874082,9.426612,45.874082 
28,010A521841,19,16,16,Run_rapid,Run_rapid,0.000,9.426613,45.874082,9.426613,45.874082 
29,010AC17508,20,16,16,Run_rapid,Run_rapid,0.000,9.426610,45.874080,9.426610,45.874080 
