ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
216,47002D1B5A,40,3,18,Bars_sedimentbuildupzones,Pools,15.448,9.426301,45.873818,9.426404,45.873914 
217,47002D1B5A,40,18,18,Pools,Pools,0.000,9.426404,45.873914,9.426404,45.873914 
218,47002D2622,41,0,1,Bars_sedimentbuildupzones,Cascade,53.961,9.426296,45.873817,9.426666,45.874139 
219,47002D2622,41,1,2,Cascade,Cascade,11.374,9.426666,45.874139,9.426587,45.874072 
220,47002D2622,41,2,6,Cascade,Cascade,11.080,9.426587,45.874072,9.426671,45.874128 
221,47002D2622,41,6,7,Cascade,Bars_sedimentbuildupzones,21.214,9.426671,45.874128,9.426516,45.874012 
222,47002D2622,41,7,8,Bars_sedimentbuildupzones,Pools,6.155,9.426516,45.874012,9.426471,45.873980 
223,47002D2622,41,8,11,Pools,Cascade,27.679,9.426471,45.873980,9.426666,45.874139 
224,47002D2622,41,11,13,Cascade,Bars_sedimentbuildupzones,21.541,9.426666,45.874139,9.426516,45.874012 
225,47002D2622,41,13,14,Bars_sedimentbuildupzones,Cascade,9.002,9.426516,45.874012,9.426570,45.874075 
226,47002D2622,41,14,15,Cascade,Cascade,2.885,9.426570,45.874075,9.426591,45.874060 
227,47002D2622,41,15,17,Cascade,Cascade,0.000,9.426591,45.874060,9.426591,45.874060 
228,47002D2622,41,17,18,Cascade,Cascade,5.581,9.426591,45.874060,9.426582,45.874110 
229,47002D2622,41,18,18,Cascade,Cascade,0.000,9.426582,45.874110,9.426582,45.874110 
230,47002D2685,42,0,1,Cascade,Cascade,10.290,9.426593,45.874086,9.426671,45.874137 
231,47002D2685,42,1,1,Cascade,Cascade,0.000,9.426671,45.874137,9.426671,45.874137 
232,47002D2C0A,43,0,1,Cascade,Cascade,1.282,9.426667,45.874137,9.426672,45.874127 
233,47002D2C0A,43,1,1,Cascade,Cascade,0.000,9.426672,45.874127,9.426672,45.874127 
234,47002D32B5,44,0,1,Cascade,Cascade,3.901,9.426832,45.874278,9.426804,45.874256 
235,47002D32B5,44,1,2,Cascade,Cascade,0.000,9.426804,45.874256,9.426804,45.874256 
236,47002D32B5,44,2,3,Cascade,Cascade,4.682,9.426804,45.874256,9.426846,45.874247 
237,47002D32B5,44,3,4,Cascade,Cascade,1.308,9.426846,45.874247,9.426846,45.874259 
238,47002D32B5,44,4,5,Cascade,Cascade,23.864,9.426846,45.874259,9.426668,45.874135 
239,47002D32B5,44,5,6,Cascade,Cascade,1.432,9.426668,45.874135,9.426656,45.874132 
240,47002D32B5,44,6,7,Cascade,Cascade,22.673,9.426656,45.874132,9.426813,45.874266 
241,47002D32B5,44,7,11,Cascade,Cascade,3.724,9.426813,45.874266,9.426846,45.874259 
242,47002D32B5,44,11,14,Cascade,Cascade,23.951,9.426846,45.874259,9.426670,45.874131 
243,47002D32B5,44,14,15,Cascade,Cascade,1.063,9.426670,45.874131,9.426666,45.874139 
244,47002D32B5,44,15,16,Cascade,Cascade,0.719,9.426666,45.874139,9.426659,45.874141 
245,47002D32B5,44,16,16,Cascade,Cascade,0.000,9.426659,45.874141,9.426659,45.874141 
246,47002D3311,45,0,0,Cascade,Cascade,0.000,9.426872,45.874280,9.426872,45.874280 
247,47002D35D6,46,0,1,Bars_sedimentbuildupzones,Cascade,29.077,9.426613,45.874123,9.426846,45.874247 
248,47002D35D6,46,1,2,Cascade,Cascade,3.676,9.426846,45.874247,9.426832,45.874278 
249,47002D35D6,46,2,4,Cascade,Cascade,2.489,9.426832,45.874278,9.426813,45.874266 
250,47002D35D6,46,4,5,Cascade,Cascade,2.628,9.426813,45.874266,9.426835,45.874257 
251,47002D35D6,46,5,6,Cascade,Cascade,12.721,9.426835,45.874257,9.426735,45.874199 
252,47002D35D6,46,6,7,Cascade,Cascade,13.867,9.426735,45.874199,9.426846,45.874259 
253,47002D35D6,46,7,18,Cascade,Bars_sedimentbuildupzones,31.607,9.426846,45.874259,9.426598,45.874114 
254,47002D35D6,46,18,18,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426598,45.874114,9.426598,45.874114 
255,47002D35D8,47,0,1,Cascade,Cascade,5.153,9.426811,45.874254,9.426767,45.874238 
256,47002D35D8,47,1,2,Cascade,Cascade,3.325,9.426767,45.874238,9.426792,45.874254 
257,47002D35D8,47,2,4,Cascade,Cascade,5.955,9.426792,45.874254,9.426846,45.874259 
258,47002D35D8,47,4,5,Cascade,Cascade,1.308,9.426846,45.874259,9.426846,45.874247 
259,47002D35D8,47,5,5,Cascade,Cascade,0.000,9.426846,45.874247,9.426846,45.874247 
260,47002D395D,48,0,1,Cascade,Cascade,8.744,9.426846,45.874247,9.426767,45.874238 
261,47002D395D,48,1,1,Cascade,Cascade,0.000,9.426767,45.874238,9.426767,45.874238 
262,47002D3A0E,49,0,1,Cascade,Cascade,5.921,9.426794,45.874246,9.426752,45.874211 
263,47002D3A0E,49,1,2,Cascade,Cascade,11.037,9.426752,45.874211,9.426846,45.874247 
264,47002D3A0E,49,2,4,Cascade,Cascade,1.308,9.426846,45.874247,9.426846,45.874259 
265,47002D3A0E,49,4,4,Cascade,Cascade,0.000,9.426846,45.874259,9.426846,45.874259 
266,47002D3A6E,50,0,5,Cascade,Cascade,8.124,9.426769,45.874228,9.426834,45.874261 
267,47002D3A6E,50,5,5,Cascade,Cascade,0.000,9.426834,45.874261,9.426834,45.874261 
268,47002D3C8E,51,0,1,Cascade,Cascade,10.539,9.426762,45.874223,9.426846,45.874268 
269,47002D3C8E,51,1,2,Cascade,Cascade,0.984,9.426846,45.874268,9.426846,45.874259 
270,47002D3C8E,51,2,6,Cascade,Cascade,0.984,9.426846,45.874259,9.426846,45.874268 
271,47002D3C8E,51,6,7,Cascade,Cascade,7.964,9.426846,45.874268,9.426783,45.874234 
272,47002D3C8E,51,7,8,Cascade,Cascade,4.575,9.426783,45.874234,9.426823,45.874246 
273,47002D3C8E,51,8,13,Cascade,Cascade,3.667,9.426823,45.874246,9.426832,45.874278 
274,47002D3C8E,51,13,14,Cascade,Cascade,3.676,9.426832,45.874278,9.426846,45.874247 
275,47002D3C8E,51,14,15,Cascade,Cascade,1.308,9.426846,45.874247,9.426846,45.874259 
276,47002D3C8E,51,15,16,Cascade,Cascade,2.565,9.426846,45.874259,9.426832,45.874278 
