ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
1,4600707992,1,3,4,Run_rapid,Cascade,15.715,9.426891,45.874308,9.426767,45.874235 
2,4600707992,1,4,5,Cascade,Cascade,1.733,9.426767,45.874235,9.426757,45.874223 
3,4600707992,1,5,6,Cascade,Steep_poolzone,54.470,9.426757,45.874223,9.426383,45.873899 
4,4600707992,1,6,7,Steep_poolzone,Steep_poolzone,0.000,9.426383,45.873899,9.426383,45.873899 
5,4600707992,1,7,8,Steep_poolzone,Banks,29.967,9.426383,45.873899,9.426307,45.873637 
6,4600707992,1,8,14,Banks,Banks,0.000,9.426307,45.873637,9.426307,45.873637 
7,4600707992,1,14,15,Banks,Banks,0.000,9.426307,45.873637,9.426307,45.873637 
8,4600707992,1,15,16,Banks,Banks,0.000,9.426307,45.873637,9.426307,45.873637 
9,4600707992,1,16,16,Banks,Banks,0.000,9.426307,45.873637,9.426307,45.873637 
10,4600710444,2,3,4,Run_rapid,Cascade,10.594,9.426891,45.874308,9.426802,45.874270 
11,4600710444,2,4,5,Cascade,Cascade,0.000,9.426802,45.874270,9.426802,45.874270 
12,4600710444,2,5,6,Cascade,Run_rapid,35.307,9.426802,45.874270,9.426551,45.874070 
13,4600710444,2,6,7,Run_rapid,Steep_poolzone,5.178,9.426551,45.874070,9.426520,45.874035 
14,4600710444,2,7,16,Steep_poolzone,Pools,3.718,9.426520,45.874035,9.426498,45.874009 
15,4600710444,2,16,16,Pools,Pools,0.000,9.426498,45.874009,9.426498,45.874009 
16,460070831D,3,3,4,Run_rapid,Cascade,7.523,9.426891,45.874308,9.426842,45.874259 
17,460070831D,3,4,5,Cascade,Cascade,0.000,9.426842,45.874259,9.426842,45.874259 
18,460070831D,3,5,6,Cascade,Cascade,7.212,9.426842,45.874259,9.426780,45.874240 
19,460070831D,3,6,7,Cascade,Cascade,3.245,9.426780,45.874240,9.426750,45.874238 
20,460070831D,3,7,8,Cascade,Bars_sedimentbuildupzones,14.012,9.426750,45.874238,9.426679,45.874133 
21,460070831D,3,8,11,Bars_sedimentbuildupzones,Run_rapid,5.731,9.426679,45.874133,9.426635,45.874106 
22,460070831D,3,11,13,Run_rapid,Run_rapid,0.000,9.426635,45.874106,9.426635,45.874106 
23,460070831D,3,13,14,Run_rapid,Run_rapid,1.014,9.426635,45.874106,9.426626,45.874110 
24,460070831D,3,14,15,Run_rapid,Run_rapid,0.000,9.426626,45.874110,9.426626,45.874110 
25,460070831D,3,15,16,Run_rapid,Run_rapid,0.000,9.426626,45.874110,9.426626,45.874110 
26,460070831D,3,16,17,Run_rapid,Run_rapid,7.283,9.426626,45.874110,9.426590,45.874055 
27,460070831D,3,17,18,Run_rapid,Steep_poolzone,4.764,9.426590,45.874055,9.426549,45.874039 
28,460070831D,3,18,18,Steep_poolzone,Steep_poolzone,0.000,9.426549,45.874039,9.426549,45.874039 
29,4600708D7B,4,3,4,Run_rapid,Cascade,9.891,9.426891,45.874308,9.426807,45.874274 
30,4600708D7B,4,4,5,Cascade,Cascade,0.000,9.426807,45.874274,9.426807,45.874274 
31,4600708D7B,4,5,7,Cascade,Cascade,0.000,9.426807,45.874274,9.426807,45.874274 
32,4600708D7B,4,7,8,Cascade,Cascade,0.000,9.426807,45.874274,9.426807,45.874274 
33,4600708D7B,4,8,11,Cascade,Cascade,1.173,9.426807,45.874274,9.426800,45.874266 
34,4600708D7B,4,11,13,Cascade,Cascade,0.830,9.426800,45.874266,9.426792,45.874266 
35,4600708D7B,4,13,16,Cascade,Cascade,0.000,9.426792,45.874266,9.426792,45.874266 
36,4600708D7B,4,16,16,Cascade,Cascade,0.000,9.426792,45.874266,9.426792,45.874266 
37,460070939F,5,3,4,Run_rapid,Cascade,6.642,9.426891,45.874308,9.426834,45.874285 
38,460070939F,5,4,5,Cascade,Cascade,0.000,9.426834,45.874285,9.426834,45.874285 
39,460070939F,5,5,6,Cascade,Cascade,7.811,9.426834,45.874285,9.426780,45.874240 
40,460070939F,5,6,7,Cascade,Cascade,3.245,9.426780,45.874240,9.426750,45.874238 
41,460070939F,5,7,8,Cascade,Cascade,0.000,9.426750,45.874238,9.426750,45.874238 
42,460070939F,5,8,11,Cascade,Banks,1.676,9.426750,45.874238,9.426763,45.874246 
43,460070939F,5,11,16,Banks,Bars_sedimentbuildupzones,3.068,9.426763,45.874246,9.426742,45.874228 
