ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
1,4600707BE6,1,0,1,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
2,4600707BE6,1,1,2,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
3,4600707BE6,1,2,3,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
4,4600707BE6,1,3,4,Run_rapid,Steep_poolzone,15.925,9.426609,45.874067,9.426484,45.873993 
5,4600707BE6,1,4,5,Steep_poolzone,Steep_poolzone,0.860,9.426484,45.873993,9.426485,45.873986 
6,4600707BE6,1,5,8,Steep_poolzone,,47.215,9.426485,45.873986,9.426310,45.873594 
7,4600707BE6,1,8,16,,,0.000,9.426310,45.873594,9.426310,45.873594 
8,4600707BE6,1,16,16,,,0.000,9.426310,45.873594,9.426310,45.873594 
9,460070884D,2,0,1,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
10,460070884D,2,1,2,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
11,460070884D,2,2,3,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
12,460070884D,2,3,5,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
13,460070884D,2,5,6,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
14,460070884D,2,6,11,Run_rapid,Bars_sedimentbuildupzones,1.760,9.426609,45.874067,9.426593,45.874067 
15,460070884D,2,11,13,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426593,45.874067,9.426593,45.874067 
16,460070884D,2,13,15,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426593,45.874067,9.426593,45.874067 
17,460070884D,2,15,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426593,45.874067,9.426593,45.874067 
18,460070884D,2,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426593,45.874067,9.426593,45.874067 
19,460070C56C,3,0,1,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
20,460070C56C,3,1,2,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
21,460070C56C,3,2,8,Run_rapid,Cascade,53.336,9.426609,45.874067,9.426281,45.873710 
22,460070C56C,3,8,13,Cascade,Cascade,1.737,9.426281,45.873710,9.426279,45.873694 
23,460070C56C,3,13,14,Cascade,Cascade,0.000,9.426279,45.873694,9.426279,45.873694 
24,460070C56C,3,14,15,Cascade,Cascade,0.000,9.426279,45.873694,9.426279,45.873694 
25,460070C56C,3,15,15,Cascade,Cascade,0.000,9.426279,45.873694,9.426279,45.873694 
26,460070C917,4,0,1,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
27,460070C917,4,1,2,Run_rapid,Cascade,7.510,9.426609,45.874067,9.426542,45.874057 
28,460070C917,4,2,4,Cascade,Pools,8.727,9.426542,45.874057,9.426492,45.873995 
29,460070C917,4,4,5,Pools,Pools,0.000,9.426492,45.873995,9.426492,45.873995 
30,460070C917,4,5,5,Pools,Pools,0.000,9.426492,45.873995,9.426492,45.873995 
31,47002CD0DB,5,0,1,Run_rapid,Run_rapid,0.000,9.426609,45.874067,9.426609,45.874067 
32,47002CD0DB,5,1,2,Run_rapid,Run_rapid,2.675,9.426609,45.874067,9.426586,45.874060 
33,47002CD0DB,5,2,3,Run_rapid,Cascade,1.405,9.426586,45.874060,9.426580,45.874072 
34,47002CD0DB,5,3,4,Cascade,Cascade,0.472,9.426580,45.874072,9.426577,45.874074 
35,47002CD0DB,5,4,6,Cascade,Steep_poolzone,6.149,9.426577,45.874074,9.426525,45.874053 
36,47002CD0DB,5,6,6,Steep_poolzone,Steep_poolzone,0.000,9.426525,45.874053,9.426525,45.874053 
