ID, IDREF, IDNUM, EventoStart, EventoEnd, TipoStart, TipoEnd, Distance_m, X_Start, Y_Start, X_End, Y_End 
1,4600710758,1,0,1,Banks,Banks,0.000,9.426781,45.874264,9.426781,45.874264 
2,4600710758,1,1,1,Banks,Banks,0.000,9.426781,45.874264,9.426781,45.874264 
3,46007088000000,2,0,1,Banks,Banks,0.000,9.426781,45.874264,9.426781,45.874264 
4,46007088000000,2,1,6,Banks,Pools,76.730,9.426781,45.874264,9.426278,45.873781 
5,46007088000000,2,6,15,Pools,Run_rapid,19.786,9.426278,45.873781,9.426319,45.873606 
6,46007088000000,2,15,16,Run_rapid,Run_rapid,0.000,9.426319,45.873606,9.426319,45.873606 
7,46007088000000,2,16,16,Run_rapid,Run_rapid,0.000,9.426319,45.873606,9.426319,45.873606 
8,46007084FF,3,0,1,Banks,Banks,0.000,9.426781,45.874264,9.426781,45.874264 
9,46007084FF,3,1,3,Banks,Banks,0.999,9.426781,45.874264,9.426776,45.874257 
10,46007084FF,3,3,5,Banks,Steep_poolzone,35.637,9.426776,45.874257,9.426538,45.874037 
11,46007084FF,3,5,6,Steep_poolzone,Pools,28.148,9.426538,45.874037,9.426726,45.874210 
12,46007084FF,3,6,16,Pools,Bars_sedimentbuildupzones,37.435,9.426726,45.874210,9.426462,45.873996 
13,46007084FF,3,16,16,Bars_sedimentbuildupzones,Bars_sedimentbuildupzones,0.000,9.426462,45.873996,9.426462,45.873996 
14,460070F9CC,4,0,1,Banks,Banks,0.000,9.426781,45.874264,9.426781,45.874264 
15,460070F9CC,4,1,3,Banks,Banks,0.999,9.426781,45.874264,9.426776,45.874257 
16,460070F9CC,4,3,4,Banks,Cascade,4.632,9.426776,45.874257,9.426760,45.874218 
17,460070F9CC,4,4,5,Cascade,Cascade,1.994,9.426760,45.874218,9.426743,45.874214 
18,460070F9CC,4,5,5,Cascade,Cascade,0.000,9.426743,45.874214,9.426743,45.874214 
19,47002CD317,5,0,1,Banks,Banks,0.000,9.426781,45.874264,9.426781,45.874264 
20,47002CD317,5,1,2,Banks,Cascade,10.079,9.426781,45.874264,9.426727,45.874190 
21,47002CD317,5,2,3,Cascade,Cascade,1.856,9.426727,45.874190,9.426715,45.874201 
22,47002CD317,5,3,5,Cascade,Cascade,15.455,9.426715,45.874201,9.426629,45.874090 
23,47002CD317,5,5,7,Cascade,Steep_poolzone,11.919,9.426629,45.874090,9.426534,45.874039 
24,47002CD317,5,7,8,Steep_poolzone,Steep_poolzone,0.000,9.426534,45.874039,9.426534,45.874039 
25,47002CD317,5,8,11,Steep_poolzone,Steep_poolzone,0.918,9.426534,45.874039,9.426525,45.874038 
26,47002CD317,5,11,15,Steep_poolzone,Steep_poolzone,0.000,9.426525,45.874038,9.426525,45.874038 
27,47002CD317,5,15,16,Steep_poolzone,Steep_poolzone,0.000,9.426525,45.874038,9.426525,45.874038 
28,47002CD317,5,16,16,Steep_poolzone,Steep_poolzone,0.000,9.426525,45.874038,9.426525,45.874038 
29,47002CE0E3,6,0,1,Banks,Banks,0.000,9.426781,45.874264,9.426781,45.874264 
30,47002CE0E3,6,1,2,Banks,Banks,0.999,9.426781,45.874264,9.426776,45.874257 
31,47002CE0E3,6,2,4,Banks,Cascade,13.970,9.426776,45.874257,9.426676,45.874178 
32,47002CE0E3,6,4,6,Cascade,Steep_poolzone,40.185,9.426676,45.874178,9.426419,45.873919 
33,47002CE0E3,6,6,8,Steep_poolzone,Run_rapid,36.760,9.426419,45.873919,9.426301,45.873606 
34,47002CE0E3,6,8,11,Run_rapid,Run_rapid,0.115,9.426301,45.873606,9.426302,45.873606 
35,47002CE0E3,6,11,13,Run_rapid,Run_rapid,0.481,9.426302,45.873606,9.426299,45.873603 
36,47002CE0E3,6,13,14,Run_rapid,Run_rapid,0.000,9.426299,45.873603,9.426299,45.873603 
37,47002CE0E3,6,14,14,Run_rapid,Run_rapid,0.000,9.426299,45.873603,9.426299,45.873603 
38,47002CE1A3,7,0,1,Banks,Banks,0.000,9.426781,45.874264,9.426781,45.874264 
39,47002CE1A3,7,1,2,Banks,Banks,0.999,9.426781,45.874264,9.426776,45.874257 
40,47002CE1A3,7,2,3,Banks,Banks,0.000,9.426776,45.874257,9.426776,45.874257 
41,47002CE1A3,7,3,4,Banks,Cascade,0.654,9.426776,45.874257,9.426780,45.874253 
42,47002CE1A3,7,4,5,Cascade,Banks,0.895,9.426780,45.874253,9.426773,45.874251 
