"EventoEnd","Event_Type","Duration","Active_Depth","Probability_Movement","Typical_Velocity","Extreme_Velocity","Weighted_Velocity","Typical_Volume","Extreme_Volume","Total_Volume"
1,"typical",15,0.15,0.680289760075814,0.271278942218894,2.68447456067663,0.560862416433822,1.74398130757348,17.2577842429765,3.60563765982184
2,"mild",2,0.1,0.714373158921568,0.40855038790148,2.44100144375281,0.65244451460364,0.245160242194403,1.46478016633688,0.3915146330915
3,"typical",19,0.15,0.646489855964696,0.270281162164563,1.69027436639234,0.440680346671895,2.09156633428493,13.0801604230875,3.41019762494124
4,"typical",25,0.15,0.777725989012905,0.271167757720761,1.56328637134118,0.426221991355212,3.3215838478482,19.148982918372,5.22087173631106
5,"intense",24,0.2,0.693657034646131,0.240032746727524,1.33686105921256,0.371652144225728,3.35664813078968,18.6948332538361,5.19723034555525
6,"typical",42,0.15,0.800906024103055,0.281309229606634,1.24508856257579,0.396962749562933,5.96149771037006,26.3858836959699,8.41242402864204
7,"typical",6,0.15,0.71523428235342,0.437328424361628,2.41253550797966,0.674353274395792,1.18235482501894,6.52249622821346,1.82317179340228
8,"typical",30,0.15,0.56784044075658,0.467966409173147,1.56328637134118,0.599404804633312,5.02230176363451,16.7774774982784,6.43292285179178
9,"typical",179,0.15,0.489798936666011,0.0419991268614244,1.55045350449123,0.223013652177001,2.31980606820595,85.6387195871328,12.3180756904772
10,"mild",19,0.1,0.387208893715171,0.24738157559087,1.69027436639234,0.420528710487045,0.764391002756251,5.22282435453738,1.29940300496999
11,"typical",98,0.15,0.432865373741299,0.0420631968527985,1.55045350449123,0.223070033769411,1.12414348606843,41.4360376275071,5.96157078304107
12,"typical",63,0.15,0.417428925356184,0.404393547625143,1.55045350449123,0.541920742449074,6.69989283540364,25.6875323243199,8.97840957407359
13,"typical",66,0.15,0.522396993049508,0.0356977236509742,1.55045350449123,0.217468417351805,0.775399785679739,33.6778144971743,4.72368955105909
14,"typical",30,0.15,0.592451785013847,0.155855249184751,1.27089689042598,0.289660246133698,1.74516401902406,14.2306629815968,3.24342389453279
15,"typical",119,0.15,0.590656326467678,0.0410455868926419,1.23866269571531,0.184759639951362,1.81756035281168,54.8498481000543,8.18143488248079
16,"mild",7,0.1,0.612259282523743,0.385958606126465,2.39722790053217,0.62731092145515,0.694741813456309,4.31511160121163,1.12918618798695
17,"intense",48,0.2,0.770597896461588,0.253429585975821,1.34659187501531,0.38460906066056,7.87418577203728,41.839292528372,11.9499985827974
18,"typical",28,0.15,0.590633130008702,0.265693753137258,1.27089689042598,0.386318129611904,2.76820168281181,13.2411803785994,4.02495912630631
19,"typical",314,0.15,0.528653120314355,0.0729305647760233,1.55045350449123,0.250233317541848,7.62694429104199,162.143575069271,26.1689399844295
20,"typical",21,0.15,0.604216378384649,0.243837885455382,1.59511874810417,0.405991588973237,1.94918706695113,12.7510326307552,3.24540853460762
21,"typical",60,0.15,0.920708937003388,0.179977328553928,1.55045350449123,0.344434469666405,6.26371457761715,53.9601198441468,11.9872832096007
22,"typical",480,0.15,0.95690071275772,0.0576300572567135,1.55045350449123,0.236768870924856,16.6762238424417,448.649731216119,68.513044727283
23,"typical",15,0.15,0.936103915765908,0.217363133833315,2.68447456067663,0.513416505054513,1.92283384284667,23.7473505488207,4.54177584756356
24,"intense",42,0.2,0.995990255946164,0.203472913714328,1.33686105921256,0.339479491174115,7.14974035032994,46.9753407633234,11.9288123998892
25,"intense",18,0.2,0.995614821597484,0.208030388640574,1.18300239698925,0.325027029642415,3.13162625069139,17.8085585728691,4.89285812935271
26,"intense",63,0.2,0.994773979000681,0.154839305798019,1.15667617945646,0.275059730637031,8.15127354473635,60.8914118597836,14.480090142542
27,"typical",32,0.15,0.962091883228261,0.117374193912527,1.27089689042598,0.255796917494142,2.27656314675624,24.6500267872092,4.9613787836106
